id,website_id,total_results_selector,pagination_pattern,link_selector,link_job,link_pattern,job_data_selector,job_detail_selector,jobs_per_page,created_at,updated_at
1,3,.indexes-pagination,https://www.elempleo.com/co/ofertas-empleo/{page},.js-offer-title,,https://www.elempleo.com/,.eeoffer-data-wrapper,.eeoffer-detail-wrapper,50,2025-10-16 20:04:22.876185,2025-10-16 20:04:22.876185
2,4,.indexes-pagination,https://www.elempleo.com/co/ofertas-empleo/{page},.js-offer-title,,https://www.elempleo.com/,.eeoffer-data-wrapper,.eeoffer-detail-wrapper,50,2025-10-16 20:04:22.876185,2025-10-16 20:04:22.876185
